NazwaPodmiotu;Nip;Przeważająca działalność gospodarcza
Adwokat Aurelia Koksztys-Łuć Kancelaria Adwokacka;6111152325;
Adwokat Damian Przybysz Kancelarie Adwokackie Jelenia Góra-Boguszów-Gorce-Wałbrzych;8862916528;
AEC INVEST;6111017248;
AESTHETIC;6112815437;
AGBUD PRZEDSIĘBIORSTWO BUDOWLANO-HANDLOWE;6111140581;
AGENCJA ARTYSTYCZNA FORTEPIANO;6112129179;
AGENCJA DIGITAL MARKETINGU, PR & REKLAMY;6112412082;
Agencja Marketingowa A.W.I.T.;5751304861;
AGENCJA MODY M;6112258126;
AGENCJA MUZYCZNA ANN MUSIC;6111102652;
AGENCJA MUZYCZNA MAG-DA;6111772186;
AGENCJA MUZYCZNA ART-MUSIC;8862351693;
AGENCJA NIERUCHOMOŚCI RENOMA;6111295450;
AGENCJA OCHRONY KRAJEWSKI -;6112804215;
AGENCJA UBEZPIECZENIOWA;6110006981;
AGENCJA USŁUG UBEZPIECZENIOWYCH;6111403589;
AGENT UBEZPIECZENIOWY;6111164593;
AGENT UBEZPIECZENIOWY;6111598972;
AGENT UBEZPIECZENIOWY;6111009970;
AGENT UBEZPIECZENIOWY;6111305616;
AGENT UBEZPIECZENIOWY;6112833949;
AGENT UBEZPIECZENIOWY;6111188895;
AGENT UBEZPIECZENIOWY;6111150651;
AGENT UBEZPIECZENIOWY;6112226623;
AGENT UBEZPIECZENIOWY;6111121299;
AGENT UBEZPIECZENIOWY Zdzisław Jan Kowalski;6111162743;
AGMAR;6111104467;
AGNES Ewa Lewandowska ul. M. Karłowicza 15B 58-506 Jelenia Góra;6141126290;
, SPEAK ENGLISH;6112806740;
PRYWATNA PRAKTYKA DENTYSTYCZNA;8322046874;
Beautiful Look;6912268020;
- GABINET KOSMETOLOGII BEYOND BEAUTY;6112508296;
kosmetologia i podologia;9552223085;
Agrade Consulting;6121570633;
Agraf;6112148030;
AGRO - CENTRUM OGRODNICZE;6110152719;
AI Solutions;8992821789;
AIM;6112186651;
Airo Software;6112614236;
Aitido;6112770806;
AKADEMIA PODRÓŻY;6111096644;
AKADEMIA TENISOWA FUN & PLAY;6112675628;
AKCEPT -;6161137138;
AKMANN;6111092333;
AKT;6111251145;
AKTENA,;6381703278;
AktivMed Rehabilitacja;8842409455;
AKWEDUKT FIRMA USŁUGOWO - HANDLOWA;6111099648;
AlaPrint;6112555686;
ALB-HEN;6112371489;
ALBRO-TRANS;6112590524;
ALCHIMOWICZBIKE;8871701655;
ALDO-DENT;6771689468;
GABINET KOSMETYCZNY;6112196075;
Gab. psychologiczno-psychoterapeutyczny;6112366962;
Taxi Osobowe;6112711778;
Usługi Fizjoterapeutyczne;6112715210;
ALEPRZEWOZ;6112701254;
ALFACONE;9161305904;
ALFATECH;6111478305;
ALGA;6111030496;
- The Body Studio;6112828902;
ALJA;6112817873;
ALKATECH - ELEKTRONICZNE SYSTEMY ZABEZPIECZEŃ;6112109679;
ALLSENSES;6112598980;
ALMAG;6112178901;
ALMAX;6111045552;
ALNIKO;6112727696;
ALTANKA CAFFE-;6112789680;
ALTERNATIVA;6141506377;
ALT GROUP;6151851265;
ALZER MEBLE NA WYMIAR;6951424056;
AM GROUP;6112737677;
AMBASADA OBUWIA;6112498830;
AMBASADA URODY;6111043091;
AMBER A. R. Mazur;6111543899;
- Obsługa Administracyjna, Projektowanie i Nadzorowanie w Budownictwie;6111081743;
AM-Bud;6110200424;
AMC AUTO TEAM MECHANIKA POJAZDOWA;6112378764;
AMICUS;6112306380;
Amkara;6112680374;
AMPER - INSTAL;6112634865;
AMTG Biuro Geodezji;6112455358;
HANDEL, USŁUGI;6111049165;
UBG;6111569812;
Master Jet;6111270361;
Usługi Brukarskie;7352205710;
Andrzej Paweł Bonio Studio Bonio Reklama Poligrafia;6111751184;
ZAKŁAD BUDOWLANO-USŁUGOWO-PRODUKCYJNY;6111398434;
PPHU KABORA;6111574291;
- BIURO UBEZPIECZENIOWE - POŚREDNICTWO KREDYTOWE MEGA;6112272511;
- STUDIO NOVA;6112814544;
ANGELA SUN;6111260090;
ANICOR PLUS,;8151496457;
ANIOLA FIRMA USŁUGOWA;9552392965;
FIRMA HANDLOWO-USŁUGOWA PERFECT;6140003846;
ANMAKUR;6112657903;
WYJAZDOWA PRAKTYKA LEKARSKA;9590913544;
PSYCHOLOG ŚLEDCZY;6112716155;
STUDIO ELITA;8811466877;
Anna Maria Wilczyńska Tłumacz przysięgły języka niemieckiego;6972165039;
RESCUE TEAM;6112433210;
BAR TEST;6111760929;
APTEKA W CIEPLICACH;8992820494;
OPIEKA;6112334270;
Anoa Animation;6112824005;
AK-Profi Auto Serwis-Naprawa;6112837433;
DIGIFON;6111013635;
JUNA FIRMA HANDLOWA;6111125682;
FIRMA HANDLOWA OGRODNIK;6111070076;
APART SERWIS;6112305506;
APARTAMENTY;6111276688;
APARTAMENTY LAMBERT;6112319336;
Apartamenty Lemon Pepper;5961633157;
APARTAMENTY MAJOWA;6161545340;
Aparttime;6112434014;
AppsCraft;6112809483;
ARBUD;6111767854;
ARBUD;6112425400;
ArCADa STUDIO ARCHITEKTONICZNE;6111345716;
ARCHITEKTURA;6112694301;
ARCUM;6110200074;
AREA ZARZĄDZANIE NIERUCHOMOŚCIAMI;6111100601;
ARGO - PRACOWNIA ARCHEOLOGICZNO-KONSERWATORSKA;6111134646;
ARKADIA MASAŻ;6112613863;
KARKONOSCY STOLARZE;8861963661;
Sudety Gastro;8811479130;
HYDROARO;6112254105;
Usługi Stolarskie;6111334813;
AR-MED;6112370254;
Aron-Trans;6111265940;
ARROW - BIS;6112115148;
ARS COMMUNICATION inż.;6112438590;
ART DOM;6112289003;
ART-BAU;6112797260;
ART-BRUK;6821669575;
ART-BUD PARTNER;8331222224;
ART-DOM;6110050315;
arteHouse;6112281444;
ART-MONT;6111081134;
Artretro;6112307416;
USŁUGI FINANSOWE;8831118139;
GABINET MASAŻU I FIZYKOTERAPII;6111796264;
- PRAKTYKA LEKARSKA;8991624526;
ARTYKUŁY PRZEMYSŁOWE, PRASA I WYDAWNICTWA, HURT, DETAL;6111602857;
AS - tur CENTRUM TURYSTYKI;6110108807;
AS.;6111145733;
ASANTE SANA;6112672825;
ASAP;6112425156;
AS-BUD;6112140235;
ASHI GABINET PODOLOGICZNY;7262329058;
Aspex;6151748171;
ASPIM;6111323614;
OŚRODEK SZKOLENIA KIEROWCÓW,,ANDRZEJEWSKI;6111636371;
AT FIRMA OGÓLNOBUDOWLANA;6112832370;
AT PLAST;6161467999;
ATAKSPORT;6111686854;
ATE;6112809477;
Atelier Igła&Nitka;6112672110;
ATELIER STYLU;6111170145;
ATELIER URODY;8991833023;
ATM;6111401426;
ATM;6112593988;
AUDYT -;6111459354;
AUTO - KACZMAREK;6111750629;
AUTO - MIX;6112054004;
AUTO - SERVICE;6111104964;
AUTO CZĘŚCI;6111435477;
AUTO DETAILING;6112524059;
AUTO LEWAR;6112131058;
AUTO NAPRAWA - SERWIS OPON -;6111018029;
AUTO NAPRAWA;6111675129;
AUTO NAPRAWA REMIK;6111073844;
AUTO SERWIS;6111038316;
AUTO WGNIECENIA;6112428798;
AUTO-CAMPING PARK USŁUGI HOTELARSKIE;6111020776;
AUTO-HALE;6111091888;
Automatic and control;6112799230;
AUTOMOTIV SERWIS;6112799833;
AUTOPUNKT;6112451432;
AUTO-SZYBY SERVIS;6112463412;
AUTO-TEST;6111429548;
AVALANCHE;6112416335;
B&K CAR SERVICE;6112173944;
B.R. Experience -;6112093955;
B.S. DUB;6112161266;
B53;6111587299;
PRZEDSIĘBIORSTWO WIELOBRANŻOWE MADPOL;6111705089;
FIRMA HANDLOWO-USŁUGOWA TOMAREX;6112175268;
UNIWEX PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE;6911493878;
ELEKTRO-INSTAL ZAKŁAD REMONTOWO-BUDOWLANY. IMPORT-EKSPORT;6111799251;
TROL;6111265437;
PBSOFT USŁUGI KOMPUTEROWE;6111808518;
ARDEL;6112587723;
P.P.H.U. MATIS;7431316817;
Balloon Expedition;5222766260;
FIRMA HANDLOWO-USŁUGOWA EROTIC;6112211171;
DZIAŁALNOŚĆ ZAWIESZONA;6111036240;
BAR 21;6111269582;
BAR GRATKA;6131481931;
BAR PIZZERIA TOKAJ;6111069713;
Bar Restauracyjny KLUBOWA;6110006521;
BAR RYNECZEK ZABOBRZE;6112279766;
AGNESS-POL PRYWATNE PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE;6111008829;
SEKO-TECH - FIRMA USŁUGOWA;6111173468;
Indywidualna Praktyka Lekarska;6112614667;
BARBERSHOP;6112819636;
BARBERSHOP;9820346392;
BARMEY;6111109192;
BART -;6112805611;
B-ART;7742272507;
FIRMA HANDLOWO-TRANSPORTOWA;6111794271;
BARTEX - AUTO SERWIS;6111696574;
SALON FRYZJERSKI BODA;6111578260;
PRZEDSIĘBIORSTWO PRODUKCYJNO - HANDLOWO - USŁUGOWE;6112451320;
KAS - ON;6111127296;
Usługi budowlane;6112572070;
PROGRAMOWANIE;6112186220;
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE EWBAS;6111720835;
BASTEK;6111144969;
INDYWIDUALNA PRAKTYKA PIELĘGNIARSKA;6111394241;
NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ PRZYCHODNIA CIEPLICE;6111028068;
PRZEDSIĘBIORSTWO WIELOBRANŻOWE BEROMA;6111001678;
HOME&SPA;6141251204;
WALTER;9371567958;
BEAUTY BY PAOLKA;7722423707;
BEAUTY EXPERT;6112699758;
BEAUTY FACTORY;6112711465;
Beauty Koncept;6112546434;
Beauty Lab;6161576062;
Beautycorner;6112802570;
BEBELLA;8862693293;
DAR-TRANS;6112365891;
INDYWIDUALNA PRAKTYKA PIELĘGNIARSKA;6111418361;
IZJAK;6111013440;
BELEZA STUDIO;6112808070;
BELIMO;6112620490;
Bella Ty;6112679589;
Bellissima Gabinet Kosmetyczny;6112421365;
BENSAM;6111088521;
INDYWIDUALNA SPECJALISTYCZNA PRAKTYKA LEKARSKA PRYWATNY GABINET STOMATOLOGICZNY SPECJALISTA CHIRURGII STOMATOL;5961055789;
INDYWIDUALNA PRAKTYKA LEKARSKA GABINET STOMATOLOGICZNY;6112177103;
ABEBE BIURO PROMOCJI I MARKETINGU;6111118127;
TRANSPORT OSOBOWO TOWAROWY;6111019276;
BEST - MIX -;6111550959;
BEST ENGLISH;6951319968;
BEST INVEST NIERUCHOMOŚCI;9720998327;
bestfriend;6151973778;
Better;7811944112;
BHP i PPoż;8811038561;
USŁUGI HOTELARSKIE;6110150175;
UNIBO;6111154577;
PBETON;6111393201;
FIRMA HANDLOWO-USŁUGOWA BIAŁY DOM;6111351786;
BIASKO;6111629224;
AUTO-BIELAWSKI;6112199895;
FIRMA HANDLOWA OKTA;6111006888;
FIRMA BUDOWLANO-HANDLOWA;6111166474;
BIELIŹNIAK;6111649675;
BIEN' PRACOWNIA KINEZYTERAPII;6112496653;
AUTO SERWIS BIENIASZ;6111373865;
PPHU TRAPER;6111301529;
GABINET PSYCHOTERAPII;6111110137;
FIRMA HANDLOWO-USŁUGOWA BIURO-SYSTEM;6111232254;
BIGSYSTEM;6112282188;
DROG MOST;6111135315;
RAFAŁ BIJAN INSTALACJA CO I WODNO-SANITARNE;6112232405;
ZYBI;6111028619;
BIS;6111507455;
BIURO FORTUNA;6111417692;
BIURO ARCHITEKTONICZNO-CONSULTINGOWE BIARCO;6110001707;
BIURO BROKERSKIE;6111008769;
BIURO CENTRUM ANDRZEJ RUCIŃSKI W UPADŁOŚCI LIKWIDACYJNEJ;6111011228;
BIURO HANDLOWE GALLA;6111005736;
BIURO INŻYNIERII LĄDOWEJ K-B;6141506526;
BIURO INŻYNIERII ŚRODOWISKA;6112400653;
BIURO INŻYNIERSKIE-KONSTRUKCJE BUDOWLANE;6111363329;
BIURO KONSULTACYJNO-PROJEKTOWE;6111501895;
BIURO NIERUCHOMOŚCI;6921983940;
Biuro Obsługi Nieruchomości Administrator;6111721036;
BIURO PODRÓŻY ESKAPADA;6111291920;
Biuro Pośrednictwa w Obrocie Nieruchomościami GOLD HOUSE;9281310109;
Biuro Pośrednictwa w Obrocie Nieruchomościami GOLD HOUSE;6111526576;
BIURO PROJEKTOWE INWEST-DOM;6110112542;
BIURO PROJEKTOWE FORUM - PROJEKT;6111092600;
BIURO RACHUNKOWE CENTRUM BIZNESU;6112266982;
Biuro Rachunkowe ES;6112404898;
BIURO RACHUNKOWE BILANS;6111466331;
BIURO RACHUNKOWE CALCULUS;6111412080;
Biuro Rachunkowe CONTABILE;6112420489;
BIURO RACHUNKOWE HALINA;6111134155;
BIURO RACHUNKOWE KO-ALA;6111304798;
Biuro Rachunkowe Mar-Tax;6112520363;
Biuro Rachunkowe Na plus;6121105729;
BIURO RACHUNKOWE SYLWIA;6111072767;
BIURO RACHUNKOWE;6111420398;
BIURO RACHUNKOWE;5981269329;
Biuro Rachunkowe;6112498824;
BIURO RACHUNKOWE BILANS -;6111136929;
BIURO RACHUNKOWE BRS;6111836839;
Biuro Rachunkowe DATA;6111232521;
BIURO RACHUNKOWE DORADZTWO PODATKOWE LIBRUM S.C;6111080637;
BIURO RACHUNKOWE;6111088662;
BIURO RACHUNKOWE;6111273980;
BIURO RACHUNKOWE;6111206280;
BIURO RACHUNKOWE FISKUS;6111517531;
BIURO RACHUNKOWE;6110005958;
BIURO RACHUNKOWE;6110005102;
BIURO RACHUNKOWE JUKOMA;6111238156;
BIURO RACHUNKOWE;6111051742;
BIURO RACHUNKOWE;6110050290;
BIURO RACHUNKOWE;6110005131;
BIURO RACHUNKOWE;6112311464;
BIURO RACHUNKOWE;6110152837;
BIURO RACHUNKOWE;8861142496;
BIURO RACHUNKOWE MGR;6111073962;
BIURO RACHUNKOWE;6111069707;
BIURO RACHUNKOWE OPTIMUM;6112668338;
Biuro Rachunkowe PERSONA PLUS;5991329116;
BIURO RACHUNKOWE RACHMISTRZ;6111143875;
BIURO RACHUNKOWE;6111224361;
Biuro Rachunkowe;6112122846;
BIURO RACHUNKOWO-DORADCZE REJESTR;6111231071;
BIURO RZECZOZNAWSTWA TECHNICZNEGO;6111191147;
BIURO TURYSTYCZNE MARKO;7531005577;
BIURO UBEZPIECZENIOWE PROGRESS B.P.;6111299092;
BIURO UBEZPIECZEŃ;6141424952;
Biuro Usług Menadżer inż.;6161107723;
BIURO USŁUG KSIĘGOWYCH I BADAŃ BILANSÓW;6111014853;
GASTRONOM;6111679713;
BIZZART STUDIO;6112807691;
BK Biuro Rachunkowe;6112367418;
BKS;6112794882;
BLACHARSTWO SAMOCHODOWE;6111613588;
BLACK GLASS GROUP;8842617998;
BLICK-PUNKT;6851979470;
BlondArte;6112655809;
FIRMA HANDLOWO-USŁUGOWA;6112115705;
BŁYSK FIRMA PORZĄDKOWA;6111466874;
BM PROJEKT;6931216998;
BNB;6112793457;
ZAKŁAD ELEKTROMECHANICZNY;6111040572;
BODY AND MIND;6112833493;
BOG.KRUK.;6111776764;
FIRMA USŁUGOWA;6111767222;
INDYWIDUALNA SPECJALISTYCZNA PRAKTYKA LEKARSKA;6111026951;
MikroBajt;6111473408;
PEDIATRA - WIZYTY DOMOWE;6111493581;
INDYWIDUALNA SPECJALISTYCZNA PRAKTYKA LEKARSKA CHIRURGIA DZIECIĘCA;6111401685;
BOK-BUD USŁUGI REMONTOWO BUDOWLANE;6111248806;
BOLLE BLU PRALNIA;6112776619;
PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE;6111846565;
OSK BONIO;6112455387;
BONIOTIR;6112576814;
PRZEDSIĘBIORSTWO WIELOBRANŻOWE-WYPOŻYCZALNIA RUSZTOWAŃ BUDOWLANYCH I NARZĘDZI;6111666573;
FIRMA SPRZĄTAJĄCA;6112201882;
Log & OR BIURO USŁUGOWO-HANDLOWE;6111541400;
FIRMA HANDLOWA;6111382404;
BOŻENA;6111713901;
BRAMGÓR;6111897309;
BRAND;6111785160;
FIRMA HANDLOWO-USŁUGOWA;6112233540;
BRA-WO;6112624938;
BRESGO;6112612881;
FIRMA HANDLOWA;6112148627;
Broker Ubezpieczeniowy;6111295740;
Browist.;6112829741;
BRUKERS WSZYSTKO SIĘ UŁOŻY;6161374482;
BRYGADA RR;6112077672;
HANDEL OBWOŹNY;6111659805;
STROJENIE I NAPRAWA INSTRUMENTÓW MUZYCZNYCH-KLAWISZOWYCH;6111036116;
P.P.H.U. PIK - CAR;6112643806;
STALEJ;6112276710;
BUD - ANNA;6112585807;
BUD;5581669373;
BUD-DOM -;6112631861;
BUDMAGD USŁUGI OGÓLNOBUDOWLANE;6111295444;
BUD-MAJSTER;6112654750;
SERWIS PARTY;6111744362;
BUD-REM;6112355562;
F H U BIS;6112097284;
CBD;6112231802;
KONTAKTY PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE;6111501317;
FIRMA HANDLOWO-USŁUGOWA A i P;9121601306;
MIKROTERM -;6111026738;
ZAKŁAD WYTWARZANIA OPAKOWAŃ Z TEKTURY I KARTONU;6110153386;
SEKTOR;6111401716;
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE S I M;6111093924;
MARCUS;6110150040;
BUSINESS COACHING;6112567034;
MATT PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE;6112170992;
BW HYDRAULIKA SIŁOWA;6112802771;
BYTEAR;6112834682;
PAWEŁ PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE;6111023467;
BYTNAR;6112559023;
BZK COMPUTERS;6112715049;
CAFEINA;6511553536;
Caffeo -;6112824241;
PRAKTYKA LEKARSKA;8862837094;
CALENS Piotr Patryk Kononiuk;5631821878;
KWIACIARNIA HOKUS- POKUS;6111044340;
CAMELEON IT;6112535502;
CAR - MAR;6111164096;
CARAMELLO-BIKE;6111728133;
CARE & CASH;8951984810;
CAREX FRUITS;6110112619;
CASA BLANCA;6111239204;
CCS;6112815791;
CD System;6112417961;
CDK MERITUM;6111778154;
PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE CECH;6112191706;
CEDiM;6111334262;
CelArt;6111309117;
Centrum Edukacji Muzycznej i Terapii. Usługi muzyczne;6161450355;
CENTRUM ELEKTRONARZĘDZI I MATERIAŁÓW BUDOWLANYCH CENTROBUD 1;6111734317;
CENTRUM JĘZYKOWE FANN;6112562574;
CENTRUM;6111831138;
CENTRUM KOREPETYCJI KOR-Ala;6111056685;
CENTRUM KOREPETYCJI PACKERS;9111023463;
CENTRUM KOSMETOLOGII RENII;6111644347;
Centrum Medyczne CerviMed;6112599241;
CENTRUM MOTOCYKLOWE;6111013173;
Centrum Nauki GENIUS;6112522391;
Centrum Rehabilitacji Medycznej Medicor;6111307526;
CENTRUM REHABILITACJI SPORTOWEJ;8751476606;
CENTRUM SZKOLENIA;6111332547;
CENTRUM ŚWIATOWEJ DOMINACJI;7543052306;
CENTRUM TERAPII WAD POSTAWY;6112834050;
Centrum Ubezpieczeń;6112462921;
CENTRUM URODY SELECTIVE;6112456984;
Centrum Zdrowych Stóp-;6112616695;
CerviFin;6112597207;
CFO DORADCA;9251201166;
CFO HANDEL KONCESJONOWANY;9251261889;
JAN-JAR;6111610408;
LUCKY JOKER;6112675083;
LECZNICA DLA ZWIERZĄT;8951365716;
PRZEDSIĘBIORSTWO PRODUKCYJNO - HANDLOWE;6110000808;
F.H.U. MARGOT;6111318808;
CHIC & SHABBY, SECOND HAND I NOWE,;6112207005;
USŁUGI PROJEKTOWE - DORADZTWO I NADZÓR BUDOWLANY;6111069788;
BIURO ZABEZPIECZEŃ PRZECIWPOŻAROWYCH;6111239428;
RENUS FIRMA HANDLOWO-USŁUGOWA;6111020380;
FIRMA HANDLOWO USŁUGOWA DUET;6111341173;
FART;6111348548;
SPEC BIURO RACHUNKOWE;6110006685;
PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE;6111070604;
TECHBUD;6112244199;
